company,job_title,salary,location,year
STRIPE INC,Big Data Engineer,143000,"South San Francisco, CA",2026
NETFLIX INC,Software Engineer,311000,"Los Gatos, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Cloud Engineer,99000,"Teaneck, NJ",2024
PINTEREST INC,Analytics Engineer,125000,"San Francisco, CA",2024
UBER TECHNOLOGIES INC,Systems Engineer,185000,"San Francisco, CA",2026
NVIDIA CORPORATION,Operations Research Analyst,222000,"Santa Clara, CA",2026
INTEL CORPORATION,Senior Engineering Manager,166000,"Santa Clara, CA",2026
AMAZON COM SERVICES LLC,Big Data Engineer,156000,"Seattle, WA",2025
IBM CORPORATION,Analytics Engineer,131000,"Armonk, NY",2026
LINKEDIN CORPORATION,Senior Product Manager,205000,"Sunnyvale, CA",2024
AIRBNB INC,Network Engineer,148000,"San Francisco, CA",2026
IBM CORPORATION,Research Scientist,124000,"Armonk, NY",2024
GOLDMAN SACHS & CO LLC,Senior Data Scientist,143000,"New York, NY",2026
WORKDAY INC,Applied Scientist,147000,"Pleasanton, CA",2026
CAPITAL ONE SERVICES LLC,Solutions Architect,158000,"McLean, VA",2024
DATADOG INC,Product Manager,141000,"Redmond, WA",2025
SQUARE INC,SRE,182000,"San Francisco, CA",2026
SNAP INC,Solutions Architect,130000,"Santa Monica, CA",2026
SERVICENOW INC,Infrastructure Engineer,160000,"Santa Clara, CA",2026
DROPOBOX INC,Database Administrator,177000,"San Francisco, CA",2025
APPLE INC,Frontend Engineer,172000,"Ann Arbor, MI",2024
TWITTER INC,AI Engineer,129000,"Bridgewater, NJ",2024
AIRBNB INC,Engineering Manager,154000,"San Francisco, CA",2026
JPMORGAN CHASE & CO,Analytics Engineer,101000,"Boston, MA",2026
CAPITAL ONE SERVICES LLC,Frontend Engineer,147000,"McLean, VA",2026
AMAZON COM SERVICES LLC,Database Administrator,186000,"Seattle, WA",2024
SERVICENOW INC,Systems Engineer,157000,"Phoenix, AZ",2024
STRIPE INC,Business Intelligence Engineer,207000,"South San Francisco, CA",2026
SALESFORCE INC,Staff Software Engineer,152000,"San Francisco, CA",2026
DROPOBOX INC,Database Administrator,181000,"Pittsburgh, PA",2024
SPLUNK INC,Security Engineer,183000,"San Francisco, CA",2026
SERVICENOW INC,Big Data Engineer,115000,"Richmond, VA",2026
STRIPE INC,Full Stack Engineer,196000,"South San Francisco, CA",2026
MICROSOFT CORPORATION,Infrastructure Engineer,126000,"Redmond, WA",2024
GOLDMAN SACHS & CO LLC,Engineering Manager,181000,"New York, NY",2026
TWITTER INC,Technical Program Manager,158000,"San Francisco, CA",2024
WORKDAY INC,QA Engineer,132000,"Ann Arbor, MI",2026
SQUARE INC,Senior Data Scientist,163000,"San Francisco, CA",2024
SNAP INC,UX Engineer,121000,"Santa Monica, CA",2026
TATA CONSULTANCY SERVICES,Full Stack Engineer,96000,"Portland, OR",2024
IBM CORPORATION,Platform Engineer,156000,"Minneapolis, MN",2024
TESLA INC,Platform Engineer,124000,"Cupertino, CA",2025
ZOOM VIDEO COMMUNICATIONS,Infrastructure Engineer,137000,"St. Louis, MO",2025
TWITTER INC,Analytics Engineer,125000,"Detroit, MI",2025
INFOSYS LIMITED,Technical Lead,108000,"Plano, TX",2024
CAPITAL ONE SERVICES LLC,Engineering Manager,146000,"McLean, VA",2024
VMWARE LLC,Site Reliability Engineer,128000,"Palo Alto, CA",2025
INFOSYS LIMITED,Security Engineer,109000,"Atlanta, GA",2026
APPLE INC,Senior Product Manager,209000,"Cupertino, CA",2024
LINKEDIN CORPORATION,Solutions Architect,146000,"Sunnyvale, CA",2026
UBER TECHNOLOGIES INC,Applied Scientist,154000,"San Francisco, CA",2024
MICROSOFT CORPORATION,Compliance Analyst,180000,"Redmond, WA",2026
META PLATFORMS INC,Product Manager,196000,"Menlo Park, CA",2025
DATADOG INC,Staff Software Engineer,155000,"New York, NY",2025
DELOITTE CONSULTING LLP,Technical Lead,105000,"New York, NY",2026
JPMORGAN CHASE & CO,Network Engineer,125000,"Jersey City, NJ",2026
CAPITAL ONE SERVICES LLC,AI Engineer,118000,"McLean, VA",2026
SQUARE INC,Financial Analyst,162000,"San Francisco, CA",2024
NVIDIA CORPORATION,Applied Scientist,153000,"Santa Clara, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Technical Program Manager,102000,"Teaneck, NJ",2025
AIRBNB INC,Applied Scientist,185000,"San Francisco, CA",2026
META PLATFORMS INC,Financial Analyst,195000,"Menlo Park, CA",2026
INFOSYS LIMITED,Big Data Engineer,71000,"Plano, TX",2025
IBM CORPORATION,Senior Product Manager,117000,"Armonk, NY",2024
AMAZON COM SERVICES LLC,AI Engineer,163000,"Nashville, TN",2025
TESLA INC,Senior Engineering Manager,134000,"Austin, TX",2026
UBER TECHNOLOGIES INC,Systems Engineer,176000,"San Francisco, CA",2024
STRIPE INC,Cloud Engineer,153000,"Miami, FL",2024
INFOSYS LIMITED,DevOps Engineer,89000,"Plano, TX",2024
TWITTER INC,Systems Engineer,144000,"San Francisco, CA",2024
WORKDAY INC,Technical Lead,162000,"Pleasanton, CA",2026
GOLDMAN SACHS & CO LLC,Data Scientist,159000,"New York, NY",2024
PINTEREST INC,Research Scientist,123000,"Schaumburg, IL",2024
SERVICENOW INC,DevOps Engineer,166000,"Santa Clara, CA",2025
ADOBE INC,Senior Data Engineer,182000,"San Jose, CA",2026
DELOITTE CONSULTING LLP,Data Scientist,138000,"New York, NY",2026
DATADOG INC,Cloud Engineer,188000,"Nashville, TN",2024
MICROSOFT CORPORATION,Data Scientist,180000,"Arlington, VA",2025
IBM CORPORATION,Infrastructure Engineer,154000,"Charlotte, NC",2024
INFOSYS LIMITED,Technical Lead,93000,"Plano, TX",2026
ACCENTURE LLP,Compliance Analyst,115000,"Columbus, OH",2024
SERVICENOW INC,Solutions Architect,145000,"Santa Clara, CA",2024
VMWARE LLC,Analytics Engineer,183000,"Arlington, VA",2024
PALANTIR TECHNOLOGIES,Senior Engineering Manager,136000,"Denver, CO",2024
INTEL CORPORATION,Cloud Engineer,122000,"Santa Clara, CA",2026
META PLATFORMS INC,Senior DevOps Engineer,171000,"Austin, TX",2025
AMAZON COM SERVICES LLC,Analytics Engineer,150000,"Seattle, WA",2025
DELOITTE CONSULTING LLP,Database Administrator,104000,"New York, NY",2026
ADOBE INC,Senior Product Manager,145000,"San Jose, CA",2025
TATA CONSULTANCY SERVICES,Financial Analyst,74000,"Bridgewater, NJ",2026
WALMART GLOBAL TECH,Big Data Engineer,90000,"Phoenix, AZ",2026
TATA CONSULTANCY SERVICES,AI Engineer,81000,"Bridgewater, NJ",2025
DATADOG INC,Senior Data Engineer,182000,"New York, NY",2024
TWITTER INC,SRE,161000,"San Francisco, CA",2025
STRIPE INC,Big Data Engineer,149000,"South San Francisco, CA",2025
WORKDAY INC,Machine Learning Engineer,167000,"Phoenix, AZ",2024
NVIDIA CORPORATION,Big Data Engineer,187000,"Santa Clara, CA",2025
SQUARE INC,AI Engineer,116000,"San Francisco, CA",2024
APPLE INC,UX Engineer,171000,"Orlando, FL",2026
MICROSOFT CORPORATION,Frontend Engineer,162000,"Redmond, WA",2024
NVIDIA CORPORATION,Data Engineer,209000,"Santa Clara, CA",2024
INTEL CORPORATION,Operations Research Analyst,159000,"Charlotte, NC",2025
SERVICENOW INC,Senior Software Engineer,149000,"Santa Clara, CA",2024
TWITTER INC,Big Data Engineer,128000,"San Francisco, CA",2024
INFOSYS LIMITED,Infrastructure Engineer,98000,"Plano, TX",2026
DATADOG INC,Database Administrator,123000,"Cupertino, CA",2024
SPLUNK INC,Applied Scientist,170000,"San Francisco, CA",2024
ADOBE INC,Applied Scientist,153000,"San Jose, CA",2024
MICROSOFT CORPORATION,QA Engineer,164000,"Redmond, WA",2024
GOOGLE LLC,Systems Engineer,191000,"Mountain View, CA",2025
GOLDMAN SACHS & CO LLC,DevOps Engineer,155000,"Newark, NJ",2025
SQUARE INC,Machine Learning Engineer,120000,"Bentonville, AR",2024
DELOITTE CONSULTING LLP,Product Manager,121000,"New York, NY",2024
DELOITTE CONSULTING LLP,Software Engineer,117000,"Bellevue, WA",2025
SNAP INC,Solutions Architect,186000,"Santa Monica, CA",2024
IBM CORPORATION,QA Engineer,118000,"Armonk, NY",2026
AMAZON COM SERVICES LLC,AI Engineer,130000,"Dallas, TX",2025
TESLA INC,AI Engineer,133000,"Austin, TX",2024
TESLA INC,Technical Lead,161000,"St. Louis, MO",2026
CAPITAL ONE SERVICES LLC,Engineering Manager,137000,"Tampa, FL",2024
ACCENTURE LLP,Senior DevOps Engineer,116000,"Chicago, IL",2024
AIRBNB INC,Machine Learning Engineer,150000,"San Francisco, CA",2024
ADOBE INC,Cloud Engineer,190000,"San Jose, CA",2024
MICROSOFT CORPORATION,Senior DevOps Engineer,188000,"Redmond, WA",2024
AIRBNB INC,Operations Research Analyst,129000,"Minneapolis, MN",2024
TESLA INC,Solutions Architect,167000,"Irvine, CA",2024
ZOOM VIDEO COMMUNICATIONS,SRE,129000,"Denver, CO",2026
DATADOG INC,Machine Learning Engineer,191000,"Salt Lake City, UT",2026
SALESFORCE INC,SRE,130000,"San Francisco, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Data Scientist,66000,"Richmond, VA",2024
TESLA INC,Senior Product Manager,131000,"San Jose, CA",2026
GOOGLE LLC,Data Engineer,188000,"Charlotte, NC",2026
AIRBNB INC,Platform Engineer,179000,"San Francisco, CA",2024
TWITTER INC,Solutions Architect,169000,"Dallas, TX",2026
NVIDIA CORPORATION,Frontend Engineer,209000,"Santa Clara, CA",2025
STRIPE INC,Senior Data Engineer,162000,"South San Francisco, CA",2026
UBER TECHNOLOGIES INC,SRE,149000,"Reston, VA",2024
LINKEDIN CORPORATION,Engineering Manager,194000,"Tampa, FL",2025
GOLDMAN SACHS & CO LLC,Cloud Engineer,130000,"Schaumburg, IL",2026
AMAZON WEB SERVICES INC,Data Scientist,207000,"Cambridge, MA",2026
ADOBE INC,Systems Engineer,158000,"Cambridge, MA",2024
NVIDIA CORPORATION,Senior Data Engineer,208000,"Santa Clara, CA",2026
ADOBE INC,Data Scientist,121000,"San Jose, CA",2026
TWITTER INC,Senior Data Engineer,179000,"Boulder, CO",2026
AIRBNB INC,Engineering Manager,146000,"Alpharetta, GA",2024
SERVICENOW INC,Frontend Engineer,176000,"Santa Clara, CA",2024
INTEL CORPORATION,Site Reliability Engineer,128000,"Santa Clara, CA",2026
TATA CONSULTANCY SERVICES,Platform Engineer,83000,"Kansas City, MO",2024
ZOOM VIDEO COMMUNICATIONS,Senior Engineering Manager,166000,"San Jose, CA",2024
ADOBE INC,SRE,190000,"San Jose, CA",2025
INFOSYS LIMITED,Big Data Engineer,97000,"Plano, TX",2024
UBER TECHNOLOGIES INC,Backend Engineer,176000,"San Francisco, CA",2025
META PLATFORMS INC,Senior Engineering Manager,168000,"Menlo Park, CA",2024
ADOBE INC,Senior Data Scientist,167000,"San Jose, CA",2024
PALANTIR TECHNOLOGIES,Product Manager,163000,"Denver, CO",2024
ZOOM VIDEO COMMUNICATIONS,Machine Learning Engineer,148000,"San Jose, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Cloud Engineer,89000,"Raleigh, NC",2024
NETFLIX INC,Applied Scientist,251000,"Bentonville, AR",2024
NETFLIX INC,Business Intelligence Engineer,319000,"Philadelphia, PA",2025
DELOITTE CONSULTING LLP,Systems Engineer,85000,"New York, NY",2026
ADOBE INC,Solutions Architect,176000,"San Jose, CA",2025
SPLUNK INC,Business Intelligence Engineer,159000,"San Francisco, CA",2024
AIRBNB INC,Backend Engineer,138000,"San Francisco, CA",2026
ADOBE INC,Product Manager,145000,"San Jose, CA",2025
TATA CONSULTANCY SERVICES,Software Engineer,85000,"San Jose, CA",2026
TATA CONSULTANCY SERVICES,Software Engineer,97000,"Bridgewater, NJ",2025
DROPOBOX INC,Operations Research Analyst,131000,"Mountain View, CA",2024
SQUARE INC,Analytics Engineer,163000,"Bellevue, WA",2024
UBER TECHNOLOGIES INC,Staff Software Engineer,192000,"San Francisco, CA",2026
TWITTER INC,Senior Data Engineer,160000,"San Francisco, CA",2024
SALESFORCE INC,Network Engineer,150000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,Compliance Analyst,101000,"Bridgewater, NJ",2026
DROPOBOX INC,Research Scientist,128000,"Salt Lake City, UT",2025
META PLATFORMS INC,Data Scientist,182000,"Menlo Park, CA",2025
INTEL CORPORATION,SRE,151000,"Santa Clara, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Systems Engineer,75000,"Teaneck, NJ",2026
APPLE INC,AI Engineer,165000,"Cupertino, CA",2025
LINKEDIN CORPORATION,Infrastructure Engineer,178000,"Dallas, TX",2026
TATA CONSULTANCY SERVICES,QA Engineer,69000,"Bridgewater, NJ",2025
PALANTIR TECHNOLOGIES,Infrastructure Engineer,120000,"Bridgewater, NJ",2026
WALMART GLOBAL TECH,Analytics Engineer,101000,"Bentonville, AR",2026
JPMORGAN CHASE & CO,Financial Analyst,151000,"New York, NY",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Compliance Analyst,76000,"Brooklyn, NY",2026
APPLE INC,Senior Data Engineer,185000,"Tempe, AZ",2025
INTEL CORPORATION,Financial Analyst,157000,"Santa Clara, CA",2026
PINTEREST INC,Data Scientist,143000,"Baltimore, MD",2024
IBM CORPORATION,AI Engineer,144000,"Armonk, NY",2025
JPMORGAN CHASE & CO,Solutions Architect,149000,"Chicago, IL",2025
INFOSYS LIMITED,Data Engineer,97000,"Plano, TX",2026
IBM CORPORATION,Cloud Engineer,104000,"Armonk, NY",2025
NVIDIA CORPORATION,Compliance Analyst,180000,"Schaumburg, IL",2026
UBER TECHNOLOGIES INC,Analytics Engineer,178000,"Boulder, CO",2024
DROPOBOX INC,Software Engineer,134000,"Orlando, FL",2025
TWITTER INC,Senior Product Manager,174000,"St. Louis, MO",2025
GOLDMAN SACHS & CO LLC,Data Engineer,112000,"New York, NY",2025
PALANTIR TECHNOLOGIES,Frontend Engineer,181000,"Cupertino, CA",2025
CAPITAL ONE SERVICES LLC,Software Engineer,125000,"Brooklyn, NY",2024
ADOBE INC,Machine Learning Engineer,180000,"San Jose, CA",2024
PALANTIR TECHNOLOGIES,Data Engineer,172000,"Tempe, AZ",2025
TWITTER INC,Financial Analyst,143000,"San Francisco, CA",2025
SNAP INC,Senior Data Engineer,176000,"Santa Monica, CA",2024
MICROSOFT CORPORATION,Big Data Engineer,165000,"Richmond, VA",2026
DOCUSIGN INC,Senior Engineering Manager,164000,"Seattle, WA",2024
SNAP INC,Solutions Architect,176000,"Santa Monica, CA",2025
NVIDIA CORPORATION,Systems Engineer,226000,"McLean, VA",2026
APPLE INC,Solutions Architect,149000,"St. Louis, MO",2025
AMAZON WEB SERVICES INC,QA Engineer,177000,"Seattle, WA",2025
ZOOM VIDEO COMMUNICATIONS,SDET,117000,"San Jose, CA",2025
STRIPE INC,Platform Engineer,167000,"South San Francisco, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Systems Engineer,103000,"Teaneck, NJ",2024
STRIPE INC,Solutions Architect,143000,"South San Francisco, CA",2026
STRIPE INC,Infrastructure Engineer,223000,"South San Francisco, CA",2025
IBM CORPORATION,Machine Learning Engineer,113000,"Armonk, NY",2025
SPLUNK INC,Compliance Analyst,148000,"San Francisco, CA",2026
GOOGLE LLC,Site Reliability Engineer,148000,"Portland, OR",2026
SERVICENOW INC,Business Intelligence Engineer,137000,"Santa Clara, CA",2024
SQUARE INC,Analytics Engineer,188000,"Richmond, VA",2024
AIRBNB INC,AI Engineer,134000,"San Francisco, CA",2025
SERVICENOW INC,SRE,113000,"Santa Clara, CA",2026
GOLDMAN SACHS & CO LLC,Senior DevOps Engineer,176000,"New York, NY",2025
AIRBNB INC,Security Engineer,155000,"San Francisco, CA",2026
INFOSYS LIMITED,Data Scientist,102000,"Plano, TX",2024
DOCUSIGN INC,UX Engineer,126000,"Charlotte, NC",2026
META PLATFORMS INC,Senior Engineering Manager,171000,"Menlo Park, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Software Engineer,104000,"Baltimore, MD",2024
SERVICENOW INC,DevOps Engineer,140000,"Santa Clara, CA",2026
ZOOM VIDEO COMMUNICATIONS,Systems Engineer,150000,"Charlotte, NC",2026
INFOSYS LIMITED,Senior Software Engineer,92000,"Plano, TX",2025
JPMORGAN CHASE & CO,Platform Engineer,129000,"Pittsburgh, PA",2025
DELOITTE CONSULTING LLP,QA Engineer,118000,"New York, NY",2024
IBM CORPORATION,Network Engineer,103000,"Armonk, NY",2025
VMWARE LLC,Analytics Engineer,148000,"Raleigh, NC",2026
ACCENTURE LLP,SDET,119000,"Chicago, IL",2024
DOCUSIGN INC,Research Scientist,127000,"Orlando, FL",2026
SERVICENOW INC,Network Engineer,151000,"Santa Clara, CA",2025
PINTEREST INC,Machine Learning Engineer,182000,"Boston, MA",2026
DATADOG INC,Senior Data Scientist,191000,"New York, NY",2024
WALMART GLOBAL TECH,Software Engineer,117000,"Indianapolis, IN",2025
AIRBNB INC,Senior Data Engineer,159000,"San Francisco, CA",2026
INFOSYS LIMITED,Analytics Engineer,74000,"Plano, TX",2025
UBER TECHNOLOGIES INC,Senior Engineering Manager,170000,"Arlington, VA",2026
ZOOM VIDEO COMMUNICATIONS,Machine Learning Engineer,151000,"San Jose, CA",2025
ADOBE INC,Big Data Engineer,165000,"San Jose, CA",2025
PINTEREST INC,DevOps Engineer,187000,"Columbus, OH",2025
DELOITTE CONSULTING LLP,Senior Data Scientist,110000,"New York, NY",2024
MICROSOFT CORPORATION,AI Engineer,187000,"Redmond, WA",2024
CAPITAL ONE SERVICES LLC,Data Scientist,151000,"Tampa, FL",2025
ADOBE INC,AI Engineer,181000,"San Jose, CA",2024
JPMORGAN CHASE & CO,Database Administrator,126000,"Sunnyvale, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Engineering Manager,92000,"Atlanta, GA",2024
ADOBE INC,AI Engineer,186000,"San Jose, CA",2026
PALANTIR TECHNOLOGIES,Frontend Engineer,168000,"Denver, CO",2024
SALESFORCE INC,Senior Software Engineer,157000,"Minneapolis, MN",2024
WORKDAY INC,Backend Engineer,132000,"Pleasanton, CA",2026
SERVICENOW INC,Platform Engineer,111000,"Santa Clara, CA",2026
GOLDMAN SACHS & CO LLC,Technical Lead,140000,"Milwaukee, WI",2025
APPLE INC,Full Stack Engineer,135000,"Columbus, OH",2026
DATADOG INC,Software Engineer,158000,"New York, NY",2026
DROPOBOX INC,Senior Data Scientist,162000,"San Francisco, CA",2026
JPMORGAN CHASE & CO,Senior Product Manager,164000,"Minneapolis, MN",2024
VMWARE LLC,Research Scientist,146000,"Charlotte, NC",2025
MICROSOFT CORPORATION,Compliance Analyst,189000,"Jersey City, NJ",2025
ADOBE INC,QA Engineer,128000,"San Jose, CA",2024
DATADOG INC,UX Engineer,170000,"New York, NY",2026
AMAZON COM SERVICES LLC,Full Stack Engineer,128000,"Seattle, WA",2024
PALANTIR TECHNOLOGIES,Network Engineer,178000,"Denver, CO",2026
PALANTIR TECHNOLOGIES,Data Scientist,167000,"Sacramento, CA",2024
TATA CONSULTANCY SERVICES,Cloud Engineer,62000,"Bridgewater, NJ",2026
SPLUNK INC,Research Scientist,163000,"San Francisco, CA",2024
UBER TECHNOLOGIES INC,Senior Data Scientist,168000,"Baltimore, MD",2024
ORACLE AMERICA INC,Software Engineer,119000,"Austin, TX",2026
JPMORGAN CHASE & CO,Backend Engineer,107000,"New York, NY",2025
SQUARE INC,Senior Software Engineer,181000,"San Francisco, CA",2026
DELOITTE CONSULTING LLP,Senior Engineering Manager,114000,"Miami, FL",2026
WALMART GLOBAL TECH,Compliance Analyst,132000,"Bentonville, AR",2025
META PLATFORMS INC,Compliance Analyst,177000,"San Jose, CA",2026
SQUARE INC,Staff Software Engineer,158000,"San Francisco, CA",2026
ADOBE INC,Senior Data Engineer,154000,"San Jose, CA",2025
AMAZON COM SERVICES LLC,Software Engineer,195000,"Seattle, WA",2024
CAPITAL ONE SERVICES LLC,Security Engineer,107000,"McLean, VA",2026
LINKEDIN CORPORATION,Senior Data Scientist,156000,"Sunnyvale, CA",2026
MICROSOFT CORPORATION,Operations Research Analyst,178000,"Ann Arbor, MI",2026
SQUARE INC,Staff Software Engineer,177000,"Ann Arbor, MI",2024
WORKDAY INC,Senior Software Engineer,162000,"Pleasanton, CA",2024
DROPOBOX INC,Senior Data Engineer,163000,"San Francisco, CA",2025
ORACLE AMERICA INC,Frontend Engineer,172000,"Cupertino, CA",2024
PALANTIR TECHNOLOGIES,Senior Product Manager,142000,"Milwaukee, WI",2024
ORACLE AMERICA INC,Network Engineer,138000,"Austin, TX",2025
SPLUNK INC,Security Engineer,129000,"Detroit, MI",2026
DROPOBOX INC,Product Manager,165000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,Senior DevOps Engineer,99000,"Baltimore, MD",2026
NETFLIX INC,Senior Software Engineer,343000,"Sunnyvale, CA",2026
DELOITTE CONSULTING LLP,Full Stack Engineer,107000,"New York, NY",2026
APPLE INC,Database Administrator,189000,"Cupertino, CA",2025
ORACLE AMERICA INC,Analytics Engineer,151000,"Austin, TX",2024
NVIDIA CORPORATION,Infrastructure Engineer,184000,"Santa Clara, CA",2024
DELOITTE CONSULTING LLP,Technical Lead,109000,"Newark, NJ",2025
SERVICENOW INC,Financial Analyst,131000,"Santa Clara, CA",2025
STRIPE INC,Platform Engineer,202000,"Philadelphia, PA",2026
NETFLIX INC,Staff Software Engineer,272000,"Bentonville, AR",2025
LINKEDIN CORPORATION,Machine Learning Engineer,184000,"Tempe, AZ",2025
SALESFORCE INC,Operations Research Analyst,159000,"Irvine, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,SRE,80000,"Los Angeles, CA",2024
TATA CONSULTANCY SERVICES,Database Administrator,89000,"Bridgewater, NJ",2026
SPLUNK INC,Platform Engineer,176000,"San Francisco, CA",2025
